state,year,month,collection_centres,estimated_generation,estimated_collected,collection_percentage,recycling_efficiency_score,growth_rate,demand_level,priority_level
Andaman and Nicobar Islands,2017,1,32,316.65,31.15,9.84,9.84,0.0,Low,High
Andaman and Nicobar Islands,2018,1,32,290.95,59.22,20.36,20.35,-8.12,Low,High
Andaman and Nicobar Islands,2019,1,32,2172.04,498.31,22.94,22.94,646.53,Medium,Medium
Andaman and Nicobar Islands,2020,1,32,1534.22,406.58,26.5,26.5,-29.37,Medium,Medium
Andaman and Nicobar Islands,2021,1,32,1012.55,294.24,29.06,29.06,-34.0,Medium,Low
Andaman and Nicobar Islands,2022,1,32,1190.57,311.06,26.13,26.13,17.58,Medium,Medium
Andaman and Nicobar Islands,2023,1,32,2438.58,621.82,25.5,25.5,104.82,Medium,Medium
Andaman and Nicobar Islands,2024,1,32,1129.17,305.24,27.03,27.03,-53.7,Medium,Low
Andaman and Nicobar Islands,2017,2,32,591.07,55.55,9.4,9.4,0.0,Low,High
Andaman and Nicobar Islands,2018,2,32,375.04,87.92,23.44,23.44,-36.55,Low,Medium
Andaman and Nicobar Islands,2019,2,32,985.95,215.16,21.82,21.82,162.89,Medium,Medium
Andaman and Nicobar Islands,2020,2,32,675.7,192.57,28.5,28.5,-31.47,Low,Low
Andaman and Nicobar Islands,2021,2,32,2546.0,729.6,28.66,28.66,276.79,Medium,Low
Andaman and Nicobar Islands,2022,2,32,2461.17,634.36,25.77,25.77,-3.33,Medium,Medium
Andaman and Nicobar Islands,2023,2,32,2679.82,667.97,24.93,24.93,8.88,Medium,Medium
Andaman and Nicobar Islands,2024,2,32,647.49,180.71,27.91,27.91,-75.84,Low,Low
Andaman and Nicobar Islands,2017,3,32,225.34,21.63,9.6,9.6,0.0,Low,High
Andaman and Nicobar Islands,2018,3,32,589.62,118.84,20.16,20.16,161.66,Low,High
Andaman and Nicobar Islands,2019,3,32,1500.66,329.81,21.98,21.98,154.51,Medium,Medium
Andaman and Nicobar Islands,2020,3,32,1110.51,303.1,27.29,27.29,-26.0,Medium,Low
Andaman and Nicobar Islands,2021,3,32,1112.48,289.43,26.02,26.02,0.18,Medium,Medium
Andaman and Nicobar Islands,2022,3,32,4236.64,1130.97,26.7,26.69,280.83,High,Low
Andaman and Nicobar Islands,2023,3,32,1257.14,359.21,28.57,28.57,-70.33,Medium,Low
Andaman and Nicobar Islands,2024,3,32,635.27,156.62,24.65,24.65,-49.47,Low,Medium
Andaman and Nicobar Islands,2017,4,32,503.92,47.68,9.46,9.46,0.0,Low,High
Andaman and Nicobar Islands,2018,4,32,655.4,130.65,19.94,19.93,30.06,Low,High
Andaman and Nicobar Islands,2019,4,32,690.79,144.35,20.9,20.9,5.4,Low,High
Andaman and Nicobar Islands,2020,4,32,947.25,239.69,25.3,25.3,37.13,Medium,Medium
Andaman and Nicobar Islands,2021,4,32,1148.78,317.34,27.62,27.62,21.28,Medium,Low
Andaman and Nicobar Islands,2022,4,32,394.15,100.31,25.45,25.45,-65.69,Low,Medium
Andaman and Nicobar Islands,2023,4,32,104.67,28.8,27.51,27.52,-73.44,Low,Low
Andaman and Nicobar Islands,2024,4,32,3660.16,1011.29,27.63,27.63,3396.86,Medium,Low
Andaman and Nicobar Islands,2017,5,32,799.38,75.26,9.41,9.41,0.0,Medium,High
Andaman and Nicobar Islands,2018,5,32,890.79,200.01,22.45,22.45,11.44,Medium,Medium
Andaman and Nicobar Islands,2019,5,32,1331.05,292.54,21.98,21.98,49.42,Medium,Medium
Andaman and Nicobar Islands,2020,5,32,956.0,237.9,24.88,24.88,-28.18,Medium,Medium
Andaman and Nicobar Islands,2021,5,32,764.86,208.0,27.19,27.19,-19.99,Medium,Low
Andaman and Nicobar Islands,2022,5,32,259.83,67.81,26.1,26.1,-66.03,Low,Medium
Andaman and Nicobar Islands,2023,5,32,4534.8,1194.49,26.34,26.34,1645.3,High,Medium
Andaman and Nicobar Islands,2024,5,32,1402.99,364.88,26.01,26.01,-69.06,Medium,Medium
Andaman and Nicobar Islands,2017,6,32,1590.95,160.89,10.11,10.11,0.0,Medium,High
Andaman and Nicobar Islands,2018,6,32,510.23,112.58,22.06,22.06,-67.93,Low,Medium
Andaman and Nicobar Islands,2019,6,32,726.96,157.61,21.68,21.68,42.48,Medium,Medium
Andaman and Nicobar Islands,2020,6,32,1348.46,359.99,26.7,26.7,85.49,Medium,Low
Andaman and Nicobar Islands,2021,6,32,1733.09,487.82,28.15,28.15,28.52,Medium,Low
Andaman and Nicobar Islands,2022,6,32,1415.37,357.11,25.23,25.23,-18.33,Medium,Medium
Andaman and Nicobar Islands,2023,6,32,1284.61,363.56,28.3,28.3,-9.24,Medium,Low
Andaman and Nicobar Islands,2024,6,32,1627.59,450.29,27.67,27.67,26.7,Medium,Low
Andaman and Nicobar Islands,2017,7,32,729.35,72.02,9.87,9.87,0.0,Medium,High
Andaman and Nicobar Islands,2018,7,32,1069.88,234.15,21.89,21.89,46.69,Medium,Medium
Andaman and Nicobar Islands,2019,7,32,750.47,167.76,22.35,22.35,-29.85,Medium,Medium
Andaman and Nicobar Islands,2020,7,32,3533.65,859.93,24.34,24.34,370.86,Medium,Medium
Andaman and Nicobar Islands,2021,7,32,1214.45,304.51,25.07,25.07,-65.63,Medium,Medium
Andaman and Nicobar Islands,2022,7,32,149.75,44.14,29.48,29.48,-87.67,Low,Low
Andaman and Nicobar Islands,2023,7,32,2377.77,628.99,26.45,26.45,1487.83,Medium,Medium
Andaman and Nicobar Islands,2024,7,32,2528.7,654.23,25.87,25.87,6.35,Medium,Medium
Andaman and Nicobar Islands,2017,8,32,841.0,78.76,9.36,9.37,0.0,Medium,High
Andaman and Nicobar Islands,2018,8,32,1061.77,232.43,21.89,21.89,26.25,Medium,Medium
Andaman and Nicobar Islands,2019,8,32,1318.57,278.07,21.09,21.09,24.19,Medium,High
Andaman and Nicobar Islands,2020,8,32,483.67,137.56,28.44,28.44,-63.32,Low,Low
Andaman and Nicobar Islands,2021,8,32,1610.72,438.89,27.25,27.25,233.02,Medium,Low
Andaman and Nicobar Islands,2022,8,32,1378.36,370.58,26.89,26.89,-14.43,Medium,Low
Andaman and Nicobar Islands,2023,8,32,1977.3,498.6,25.22,25.22,43.45,Medium,Medium
Andaman and Nicobar Islands,2024,8,32,1180.4,288.86,24.47,24.47,-40.3,Medium,Medium
Andaman and Nicobar Islands,2017,9,32,436.62,44.26,10.14,10.14,0.0,Low,High
Andaman and Nicobar Islands,2018,9,32,1432.48,303.84,21.21,21.21,228.08,Medium,High
Andaman and Nicobar Islands,2019,9,32,271.79,61.34,22.57,22.57,-81.03,Low,Medium
Andaman and Nicobar Islands,2020,9,32,3598.47,992.88,27.59,27.59,1223.99,Medium,Low
Andaman and Nicobar Islands,2021,9,32,244.01,67.69,27.74,27.74,-93.22,Low,Low
Andaman and Nicobar Islands,2022,9,32,1938.76,502.13,25.9,25.9,694.54,Medium,Medium
Andaman and Nicobar Islands,2023,9,32,1417.76,402.05,28.36,28.36,-26.87,Medium,Low
Andaman and Nicobar Islands,2024,9,32,2012.36,497.25,24.71,24.71,41.94,Medium,Medium
Andaman and Nicobar Islands,2017,10,32,789.11,77.73,9.85,9.85,0.0,Medium,High
Andaman and Nicobar Islands,2018,10,32,609.07,123.47,20.27,20.27,-22.82,Low,High
Andaman and Nicobar Islands,2019,10,32,285.68,67.66,23.68,23.68,-53.1,Low,Medium
Andaman and Nicobar Islands,2020,10,32,464.79,118.26,25.44,25.44,62.7,Low,Medium
Andaman and Nicobar Islands,2021,10,32,2606.03,626.17,24.03,24.03,460.69,Medium,Medium
Andaman and Nicobar Islands,2022,10,32,642.0,174.15,27.13,27.13,-75.36,Low,Low
Andaman and Nicobar Islands,2023,10,32,670.24,181.37,27.06,27.06,4.4,Low,Low
Andaman and Nicobar Islands,2024,10,32,1093.45,294.83,26.96,26.96,63.14,Medium,Low
Andaman and Nicobar Islands,2017,11,32,1161.78,117.28,10.1,10.09,0.0,Medium,High
Andaman and Nicobar Islands,2018,11,32,762.69,162.48,21.3,21.3,-34.35,Medium,High
Andaman and Nicobar Islands,2019,11,32,598.36,130.91,21.88,21.88,-21.55,Low,Medium
Andaman and Nicobar Islands,2020,11,32,86.4,20.58,23.82,23.82,-85.56,Low,Medium
Andaman and Nicobar Islands,2021,11,32,3043.57,754.37,24.79,24.79,3422.65,Medium,Medium
Andaman and Nicobar Islands,2022,11,32,1407.45,375.62,26.69,26.69,-53.76,Medium,Low
Andaman and Nicobar Islands,2023,11,32,817.11,204.15,24.98,24.98,-41.94,Medium,Medium
Andaman and Nicobar Islands,2024,11,32,1501.7,409.19,27.25,27.25,83.78,Medium,Low
Andaman and Nicobar Islands,2017,12,32,88.28,8.83,10.01,10.0,0.0,Low,High
